last_name; first_name;player_id;year;b_ab;b_home_run;b_strikeout;b_sac_fly;b_reached_on_error;sprint_speed;BIP;a_ROE
Conforto; Michael;624424;2020;202;9;57;0;3;26.8;136;0.022058824
Frazier; Adam;624428;2020;209;7;35;0;1;27.1;167;0.005988024
Cronenworth; Jake;630105;2020;172;4;30;1;2;28.7;139;0.014388489
Anderson; Tim;641313;2020;208;10;50;1;2;28.7;149;0.013422819
Bellinger; Cody;641355;2020;213;12;42;0;0;28.6;159;0
Crawford; J.P.;641487;2020;204;2;39;2;2;26.6;165;0.012121212
Dozier; Hunter;641531;2020;158;6;48;0;2;28;104;0.019230769
Lewis; Kyle;641786;2020;206;11;71;2;1;27.9;126;0.007936508
McMahon; Ryan;641857;2020;172;9;66;1;1;25.9;98;0.010204082
Smith; Dominic;642086;2020;177;10;45;3;0;25.9;125;0
Adames; Willy;642715;2020;185;8;74;0;2;28.2;103;0.019417476
Kiner-Falefa; Isiah;643396;2020;211;3;32;1;4;28.1;177;0.02259887
McNeil; Jeff;643446;2020;183;4;24;3;3;27.1;158;0.018987342
Robles; Victor;645302;2020;168;3;53;2;0;28;114;0
Devers; Rafael;646240;2020;232;11;67;0;1;26.5;154;0.006493506
Jimenez; Eloy;650391;2020;213;14;56;1;3;27.2;144;0.020833333
Schwarber; Kyle;656941;2020;191;11;66;0;2;26.9;114;0.01754386
Verdugo; Alex;657077;2020;201;6;45;1;2;27.5;151;0.013245033
White; Evan;657108;2020;182;8;84;1;1;28.2;91;0.010989011
Laureano; Ramon;657656;2020;183;6;58;3;0;27.9;122;0
Moncada; Yoan;660162;2020;200;6;72;2;1;27.5;124;0.008064516
Acuna Jr.; Ronald;660670;2020;160;14;60;0;0;29.2;86;0
Riley; Austin;663586;2020;188;8;49;1;1;26.9;132;0.007575758
Tucker; Kyle;663656;2020;209;9;46;1;3;27.6;155;0.019354839
Grisham; Trent;663757;2020;215;10;64;1;1;29.1;142;0.007042254
Happ; Ian;664023;2020;198;12;63;0;2;27.1;123;0.016260163
Lowe; Brandon;664040;2020;193;14;58;2;0;27.4;123;0
Fletcher; David;664058;2020;207;3;25;2;1;27.3;181;0.005524862
Tatis Jr.; Fernando;665487;2020;224;17;61;1;0;29.4;147;0
Guerrero Jr.; Vladimir;665489;2020;221;9;38;0;3;25.3;174;0.017241379
Soto; Juan;665742;2020;154;13;28;0;3;26.2;113;0.026548673
Gurriel Jr.; Lourdes;666971;2020;208;11;48;2;4;26.3;151;0.026490066
Reynolds; Bryan;668804;2020;185;7;57;0;1;28.2;121;0.008264463
Edman; Tommy;669242;2020;204;5;48;2;2;28.9;153;0.013071895
Solak; Nick;669256;2020;209;2;42;4;1;28.6;169;0.00591716
Hiura; Keston;669374;2020;217;13;85;2;2;27.1;121;0.016528926
Lopez; Nicky;670032;2020;169;1;41;0;1;27.8;127;0.007874016
Robert Jr.; Luis;673357;2020;202;11;73;2;1;29.1;120;0.008333333
